昵称,id,学历,学校,学院,专业,经验,简介
极端主义者,5aed71f274e96aa741313de4,学生,NCU,公共管理学院,Social Sciences,学生,
LY ,5aee839f74e96aa741313dee,学生,宁夏大学,教育学院,Psychology,大家好，我是小寓，爱好很多，喜欢运动，乐于助人，善交朋友！,我是一名本科生，大二参加过自治区级大学生创新项目，关于不同心理弹性的个体在内外群体事件的影响。大三主持一项国家级大创项目，关于表情包的使用与人格特征的关系，实习在心理中心，主要是做心理咨询，毕业论文关于亲子沟通和心理安全感和幸福感的关系研究。
yaozhang,5aeb066974e96aa741313dbe,学生,西南大学,心理学部,Psychology,一名研究生,
Sherry,5aed596604bad5e72c7ba4e7,研究生,中国石油大学(北京),工商管理学院,Economics,,
Sylvia,5aea833204bad5e72c7ba4c6,学生,四川师范大学,教师教育与心理学院,Psychology,努力写论文,
知识豌豆,5ae970ea74e96aa741313d62,研究生,郑州大学,商学院,Economics / Finance,学知识啊学知识,
韦大宇,5ae7bbfd74e96aa741313d4b,博士生,中南财经政法大学,工商管理学院,Economics,中南财经政法大学国际贸易学博士研究生,
huguo2873,5ae5a2de74e96aa741313d3e,博士,浙江大学,医学院,Medicine,,
解夏,5ae57c0f74e96aa741313d2a,学生,南开大学,经济学院,Business Administation / Management Science,国际经济与贸易系硕士生在读,
吴文滨,5ae3093774e96aa741313c93,学生,湖南大学,经济与贸易学院,Economics,经济学菜鸟,
echo,5ae27b5a04bad5e72c7ba3d9,博士生,华南理工大学,工商管理学院,Business Administation / Management Science,创新管理渣博一枚,
田文勇,5ae2031274e96aa741313c78,博士 副教授,铜仁学院,经济管理学院,Business Administation / Management Science,农业经济管理博士,农业技术经济
萌宠集中营,5ae1bf0074e96aa741313c76,小ap,beijing,经管学院,Engineering,同济博士，现在某高校任苦逼青椒,
刘佳怿,5ae01d3c74e96aa741313c5d,硕士生,塔夫茨大学,儿童研究与人类发展系,Psychology,Help Children thrive in the 21 century.,
vivalavida,5adf382174e96aa741313c4e,学生,湖南大学,工商管理学院,Social Sciences,宛若星苼,
Nicole,5adf3a6f04bad5e72c7ba3a8,学生,吉林大学,商学院,,,
spring zhang,5adfdc5174e96aa741313c54,博士生,广东工业大学,管理学院,Business Administation / Management Science,,
煜敬,5adf208c04bad5e72c7ba3a2,研究生,西南大学,经济管理学院,Business Administation / Management Science,"西南大学经济管理研究生  企业管理专业
研究方向：人力资源管理 领导行为研究",
Xin,5ade872674e96aa741313c41,研究生,四川大学,商学院,Social Sciences,,
Chen,5adddaa974e96aa741313c36,博士生,浙江工业大学,经贸学院,Business Administation / Management Science,初级博士生一枚,刚刚迈入学术的门槛，渐进学习的过程
秦时明月,5addc8e274e96aa741313c34,学生,贵州师范大学,基础心理学,Psychology,全能，乐观，积极，忧郁,暂无
hl,5add944874e96aa741313c33,博士生,吉大,生物学院,Psychology,博士生,
Limber,5add306974e96aa741313c30,博士生,剑桥大学,,Mthematics,,
侯攀,5add473074e96aa741313c31,硕士研究生,吉林大学,化学学院,Chemistry,没有文字可以描述这个男人,
易瓷,5adac3ef74e96aa741313bbe,硕士研究生,北京师范大学,心理学部,Psychology,学术之心,Beijing Nromal University 
长天开,5adbda1a74e96aa741313c12,写手,中国传媒大学,编辑与出版,Arts and Literature,擦黑板的ᕕ( ᐛ )ᕗ,
吴萱,5adc32a774e96aa741313c14,学生,广东医科大学,人文管理学院,Arts and Literature,在校心理系学生,
Chamleobin,5ada046704bad5e72c7ba2ca,硕士,西南大学,心理学部,Psychology,心理学探索者。知乎ID：张李斌,
bookigen,5ad6e88874e96aa741313a27,教授,STUST,商學院,Business Administation / Management Science,研究者,
蹦迪土拨鼠,5ad817bf04bad5e72c7ba2ad,研究生,北京大学,心理与认知科学学院,Psychology,学生,
xyidan,5ad7524904bad5e72c7ba2a6,硕博连读生,上海交通大学,安泰经济与管理学院,Business Administation / Management Science,student in SJTU,
雷玉菊,5ad5c3b974e96aa741313a16,博士生,华中师范大学,心理学院,Psychology,发展心理学研究生,
